# mag_pl    log_mass    log_q    log_a    d_au    sep_as    incl    ecc    flag    ii    jj
15.535        -2.511        -2.081    1.940    131.2    9.993    2.048    0.524    1    6    685
16.920        -2.945        -2.515    0.903    9.9    0.756    1.981    0.270    1    6    763
17.084        -2.986        -2.556    1.663    65.8    5.008    0.803    0.443    1    6    768
16.787        -2.912        -2.482    1.294    24.8    1.886    2.583    0.409    1    6    786
16.701        -2.889        -2.459    1.402    33.5    2.553    1.262    0.365    1    6    788
16.779        -2.910        -2.480    -0.002    1.3    0.098    2.396    0.294    0    6    788
15.332        -2.419        -1.989    1.952    127.4    9.705    1.658    0.452    1    6    839
17.025        -2.971        -2.541    1.218    15.6    1.186    2.202    0.160    1    6    853
15.741        -2.593        -2.163    0.632    4.1    0.316    2.143    0.222    0    6    871
17.139        -2.999        -2.569    0.914    9.7    0.738    0.321    0.185    1    6    878
15.394        -2.449        -2.019    2.214    122.8    9.349    2.741    0.265    1    6    896
17.132        -2.997        -2.567    1.248    24.9    1.899    2.324    0.424    1    6    906
14.882        -2.109        -1.679    0.652    6.8    0.520    1.966    0.676    1    6    909
15.251        -2.378        -1.948    2.070    153.8    11.715    1.319    0.323    0    6    916
17.055        -2.978        -2.549    0.681    5.7    0.437    1.950    0.208    0    6    970
16.203        -2.748        -2.318    1.206    23.5    1.788    1.020    0.481    1    6    985
16.138        -2.728        -2.298    1.262    19.7    1.502    2.299    0.107    1    6    992
17.180        -3.008        -2.578    1.832    110.7    8.428    1.981    0.660    1    6    1047
16.276        -2.770        -2.340    1.515    35.3    2.690    2.413    0.114    1    6    1057
16.336        -2.788        -2.358    1.576    65.7    5.007    2.398    0.855    1    6    1061
15.560        -2.522        -2.092    0.772    7.3    0.554    2.028    0.254    1    6    1069
16.877        -2.935        -2.505    1.419    30.8    2.342    2.332    0.204    1    6    1088
19.068        -2.981        -2.654    1.758    96.5    6.097    0.579    0.695    1    7    9
14.707        -1.808        -1.480    0.910    10.1    0.640    2.028    0.269    1    7    9
18.065        -2.791        -2.463    2.116    161.1    10.176    2.015    0.376    0    7    18
15.939        -2.280        -1.952    1.834    59.8    3.780    0.972    0.149    1    7    27
18.167        -2.811        -2.483    0.911    10.7    0.678    2.739    0.382    1    7    35
18.817        -2.936        -2.608    0.687    5.7    0.361    2.546    0.183    0    7    39
16.029        -2.307        -1.979    1.604    50.6    3.194    1.652    0.315    1    7    46
17.834        -2.744        -2.416    1.457    38.0    2.402    2.060    0.339    1    7    48
17.859        -2.749        -2.421    1.130    12.9    0.815    2.000    0.137    1    7    59
18.688        -2.912        -2.584    1.704    53.6    3.386    0.111    0.089    1    7    67
18.798        -2.932        -2.604    1.543    25.8    1.631    2.379    0.208    1    7    69
17.773        -2.731        -2.403    1.809    84.3    5.328    1.732    0.345    1    7    72
16.634        -2.470        -2.142    1.183    17.7    1.120    1.925    0.181    1    7    88
18.721        -2.918        -2.590    0.617    5.8    0.369    1.847    0.453    0    7    121
14.159        -1.261        -0.934    1.782    65.1    4.113    0.730    0.294    1    7    139
17.501        -2.673        -2.345    1.553    27.1    1.715    2.687    0.303    1    7    150
19.215        -3.008        -2.680    1.644    49.4    3.118    1.623    0.218    1    7    175
19.108        -2.989        -2.661    0.346    3.2    0.203    0.694    0.463    0    7    212
18.958        -2.962        -2.634    1.271    20.5    1.295    0.778    0.115    1    7    213
14.750        -1.830        -1.503    0.009    1.3    0.085    0.903    0.335    0    7    231
19.234        -3.011        -2.683    1.705    80.9    5.110    1.588    0.614    1    7    235
16.175        -2.348        -2.020    1.533    27.5    1.739    2.357    0.592    1    7    260
15.890        -2.265        -1.938    0.608    6.0    0.377    2.814    0.476    0    7    274
18.771        -2.927        -2.599    0.925    12.1    0.763    1.237    0.468    1    7    294
16.395        -2.408        -2.080    1.860    104.6    6.606    1.278    0.487    1    7    304
18.057        -2.789        -2.462    1.294    17.3    1.092    2.732    0.137    1    7    352
19.136        -2.994        -2.666    0.949    10.6    0.669    0.676    0.208    1    7    355
17.606        -2.696        -2.368    1.612    33.9    2.144    1.723    0.358    1    7    371
18.869        -2.945        -2.617    0.834    8.8    0.555    0.893    0.321    0    7    382
18.331        -2.844        -2.516    2.182    204.1    12.893    2.203    0.363    0    7    393
16.985        -2.556        -2.228    1.312    24.9    1.572    0.879    0.222    1    7    403
14.868        -1.889        -1.561    0.887    11.9    0.751    0.751    0.808    1    7    403
14.579        -1.735        -1.407    0.211    2.3    0.142    2.689    0.416    0    7    426
17.540        -2.682        -2.354    1.257    25.1    1.584    1.893    0.401    1    7    439
16.293        -2.381        -2.053    1.480    44.8    2.831    1.489    0.589    1    7    463
16.697        -2.486        -2.158    1.287    26.1    1.648    2.373    0.363    1    7    482
18.250        -2.828        -2.500    0.830    9.5    0.601    1.219    0.427    1    7    482
14.614        -1.755        -1.428    1.312    26.7    1.687    0.974    0.413    1    7    487
18.822        -2.937        -2.609    0.975    9.9    0.623    2.381    0.095    1    7    494
15.512        -2.144        -1.816    1.297    24.3    1.537    2.022    0.342    1    7    501
17.326        -2.635        -2.307    1.108    13.2    0.832    0.861    0.053    1    7    516
